,Title,Year,Genre,Awards,Metascore,BoxOffice
227,The Animal,2001,"Comedy, Sci-Fi",5 nominations.,43,N/A
231,Lara Croft: Tomb Raider,2001,"Action, Adventure, Fantasy, Thriller",4 wins & 18 nominations.,33,"$129,512,407"
230,Y Tu Mamá También,2001,"Adventure, Comedy, Drama",Nominated for 1 Oscar. Another 37 wins & 45 nominations.,88,"$13,622,333"
229,Swordfish,2001,"Action, Crime, Thriller",5 wins & 8 nominations.,32,N/A
228,Atlantis: The Lost Empire,2001,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",2 wins & 14 nominations.,52,"$83,561,615"
488,Men with Brooms,2002,"Comedy, Drama, Romance, Sport",1 win & 10 nominations.,N/A,N/A
487,Igby Goes Down,2002,"Comedy, Drama",Nominated for 2 Golden Globes. Another 7 wins & 15 nominations.,72,"$4,624,014"
484,Moonlight Mile,2002,"Drama, Romance",1 win & 6 nominations.,59,N/A
485,Phone Booth,2002,"Crime, Thriller",1 win & 8 nominations.,56,"$46,524,362"
489,Ballistic: Ecks vs. Sever,2002,"Action, Crime, Sci-Fi, Thriller",5 nominations.,19,"$14,235,059"
483,The Four Feathers,2002,"Adventure, Drama, Romance, War",N/A,49,"$18,236,897"
482,Swimfan,2002,"Drama, Thriller",N/A,29,"$28,303,771"
486,Stealing Harvard,2002,"Comedy, Crime",1 win & 1 nomination.,25,"$13,914,181"
490,The Banger Sisters,2002,"Comedy, Drama",Nominated for 1 Golden Globe. Another 1 win.,48,"$30,194,326"
493,Sweet Home Alabama,2002,"Comedy, Romance",3 wins & 6 nominations.,45,"$127,214,072"
492,The Pianist,2002,"Biography, Drama, Music, War",Won 3 Oscars. Another 52 wins & 73 nominations.,85,"$32,519,322"
494,The Tuxedo,2002,"Action, Comedy, Sci-Fi",2 wins & 1 nomination.,30,"$50,189,179"
495,Mondays in the Sun,2002,"Comedy, Drama",45 wins & 19 nominations.,64,N/A
496,Red Dragon,2002,"Crime, Drama, Thriller",4 wins & 10 nominations.,60,"$92,930,005"
497,Cypher,2002,"Mystery, Sci-Fi, Thriller",5 wins & 3 nominations.,N/A,N/A
499,Boat Trip,2002,Comedy,1 win & 8 nominations.,18,"$8,525,095"
500,Darkness,2002,Horror,2 wins & 3 nominations.,15,"$22,036,907"
501,The Transporter,2002,"Action, Crime, Thriller",N/A,51,"$25,221,889"
502,Jonah: A VeggieTales Movie,2002,"Animation, Adventure, Comedy, Drama, Family, Musical",2 nominations.,58,"$25,408,198"
481,City by the Sea,2002,"Crime, Drama, Mystery, Thriller",1 nomination.,50,"$22,369,941"
491,Funny Ha Ha,2002,"Comedy, Drama, Romance",2 wins & 3 nominations.,78,N/A
480,Dirty Pretty Things,2002,"Crime, Drama, Thriller",Nominated for 1 Oscar. Another 17 wins & 26 nominations.,78,"$7,953,388"
459,The Country Bears,2002,"Comedy, Family, Music, Musical",4 nominations.,37,"$16,892,873"
478,Far from Heaven,2002,Drama,Nominated for 4 Oscars. Another 101 wins & 91 nominations.,84,"$15,900,000"
455,Reign of Fire,2002,"Action, Adventure, Fantasy, Sci-Fi, Thriller",1 win & 3 nominations.,39,"$42,929,971"
456,Eight Legged Freaks,2002,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",1 nomination.,53,"$17,231,006"
457,Stuart Little 2,2002,"Animation, Adventure, Comedy, Family, Fantasy",1 win & 4 nominations.,66,"$64,736,114"
458,K-19: The Widowmaker,2002,"Drama, History, Thriller, War",1 win & 2 nominations.,58,"$35,100,183"
