,Title,Year,Genre,Awards,Metascore,BoxOffice
1850,Stan Helsing,2009,"Comedy, Horror",1 win.,0.0,$0
1851,Micmacs,2009,"Action, Comedy, Crime",5 wins & 8 nominations.,62.0,"$1,260,917"
1863,District 9,2009,"Action, Sci-Fi, Thriller",Nominated for 4 Oscars. Another 30 wins & 110 nominations.,81.0,"$115,646,235"
1864,Bandslam,2009,"Comedy, Drama, Family, Music, Romance",none,66.0,"$5,205,343"
1865,Funny People,2009,"Comedy, Drama",3 nominations.,60.0,"$51,814,190"
1869,The Young Victoria,2009,"Biography, Drama, History, Romance",Won 1 Oscar. Another 12 wins & 17 nominations.,64.0,"$10,900,000"
1870,Watchmen,2009,"Action, Drama, Mystery, Sci-Fi",11 wins & 22 nominations.,56.0,"$107,453,620"
1871,City Island,2009,"Comedy, Drama",3 wins & 4 nominations.,66.0,"$6,670,712"
1872,17 Again,2009,"Comedy, Drama, Fantasy",3 wins & 5 nominations.,48.0,"$64,087,443"
1873,Race to Witch Mountain,2009,"Action, Adventure, Family, Fantasy, Sci-Fi, Thriller",1 nomination.,52.0,"$67,128,202"
1874,Miss March,2009,"Comedy, Romance",2 nominations.,7.0,"$4,485,877"
1875,The Last House on the Left,2009,"Horror, Thriller",1 win & 8 nominations.,42.0,"$32,721,635"
1876,Breaking Upwards,2009,Romance,1 nomination.,56.0,$0
1877,The Twilight Saga: New Moon,2009,"Adventure, Drama, Fantasy, Romance",20 wins & 24 nominations.,44.0,"$296,593,070"
1878,Drag Me to Hell,2009,"Horror, Thriller",7 wins & 22 nominations.,83.0,"$42,100,000"
1894,Crank: High Voltage,2009,"Action, Crime, Thriller",1 win & 2 nominations.,41.0,"$13,630,226"
1879,Duplicity,2009,"Comedy, Crime, Romance, Thriller",Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,69.0,"$40,559,930"
1881,12 Rounds,2009,"Action, Crime, Thriller",none,38.0,"$12,200,000"
1882,Knowing,2009,"Action, Drama, Mystery, Sci-Fi, Thriller",1 win & 5 nominations.,41.0,"$79,948,113"
1883,"I Love You, Man",2009,"Comedy, Romance",1 win & 8 nominations.,70.0,"$71,300,000"
1884,The City of Your Final Destination,2009,"Drama, Romance",1 win & 2 nominations.,52.0,"$493,296"
1885,Shinjuku Incident,2009,"Action, Crime, Drama, Thriller",1 win & 6 nominations.,63.0,$0
1886,Chloe,2009,"Drama, Mystery, Romance, Thriller",3 wins & 5 nominations.,48.0,"$31,000,000"
1887,The Damned United,2009,"Biography, Drama, Sport",5 nominations.,81.0,"$315,306"
1888,Dragonball: Evolution,2009,"Action, Adventure, Fantasy, Sci-Fi, Thriller",1 nomination.,45.0,"$9,353,573"
1889,Adventureland,2009,"Comedy, Drama, Romance",1 win & 4 nominations.,76.0,"$15,900,000"
